discoverymethod,description,periastrontime,discoveryyear,eccentricity,semimajoraxis,period,name,mass,periastron,list,lastupdate
RV,This planet was discovered by Barbato et al. 2020. This was a ground based discovery. The parameters listed here are those reported by Barbato et al. 2020 and were imported into the Open Exoplanet Catalogue from the NASA Exoplanet Archive.,,2020,0.400000,0.300000,74.20000000,BD-11 4672 c,0.04836,245.9200,Confirmed planets,20/07/23
RV,,245294.21,2009,0.29,0.777,268.94,BD+14 4559 b,1.47,87.64,Confirmed planets,15/11/26
RV,BD+15 2375 b is a giant planet orbiting a red giant star.,2457680,2016,0.001,0.576,153.22,BD+15 2375 b,1.061,55,Confirmed planets,17/12/09
RV,The planet BD+15 2940 b was discovered by the Penn State - Torun Planet Search (PTPS) using ground based spectrometer. It is the closest-in planet around a giant star. It might soon be swallowed by the star as a consequence of stellar evolution.,2453464,2013,0.26,0.539,137.48,BD+15 2940 b,1.11,302,Confirmed planets,15/11/23
RV,The star BD-1763 is a K-type star in the constellation Cetus. It is five times less luminous than our Sun.,2454627.1,2008,0.54,1.34,655.6,BD-17 63 b,5.1,112.2,Confirmed planets,15/11/17
RV,The existance of planet BD+20 1790 b was proposed first in 2010. New Bayesian analysis supports the hypothesis of the planetary companion.,,2015,0.22,0.066,7.78287,BD+20 1790 b,6.37,262,Confirmed planets,15/11/23
RV,The star BD+20 2457 is located in the constellation Leo. Its metallicity is ten times lower compared to our Sun. The orbital parameters given in the discovery paper have been shown to be dynamically unstable on astronomically short timescales.,2454677.53,2009,0.15,1.45,379.63,BD+20 2457 b,21.42,207.64,Controversial,15/11/26
RV,The star BD+20 2457 is located in the constellation Leo. Its metallicity is ten times lower compared to our Sun. The orbital parameters given in the discovery paper have been shown to be dynamically unstable on astronomically short timescales.,2453867.45,2009,0.18,2.01,621.99,BD+20 2457 c,12.47,126.02,Controversial,15/11/26
RV,"This planet was found by the Penn State-Torun Planet Search Team (PTPS) using the Hobby-Eberly Telescope. Most likely, there is another low-mass stellar companion in the system.",2453921.0,2012,0.21,1.3,578.2,BD+20 274 b,4.2,108.5,Confirmed planets,15/11/23
transit,K2-56 b is a Neptune-sized planet with a density compatible with a mainly-rocky composition.,,2016,0,0.241,41.6855,BD+20 594 b,0.05129,,Confirmed planets,17/11/30
RV,BD+26 1888 b is a massive planet or brown dwarf orbiting a K7 star.,2456548.3,2016,0.2675,1.19,536.78,BD+26 1888 b,26,1.3,Confirmed planets,17/12/09
