distance,rightascension,name,constellation,declination,binaries,planets,stars
56.5,00 49 13.9504,HD 4732,Cetus,-24 08 11.9929,0.0,2.0,1.0
84.56,06 37 40.7939,HD 47366,Canis Major,-12 59 06.4248,0.0,2.0,1.0
121.36,06 37 47.6183,HD 47536,Canis Major,-32 20 23.0335,0.0,2.0,1.0
969.5,00 49 39.9018,HD 4760,Pisces,+06 24 25.7108,0.0,1.0,1.0
87.4,06 40 01.7271,HD 48265,Puppis,-48 32 31.0430,0.0,1.0,1.0
205.45,00 51 06.2775,HD 4917,Cetus,-12 55 39.3704,0.0,1.0,1.0
40.7,06 51 30.5163,HD 49674,Auriga,+40 52 03.9255,0.0,1.0,1.0
46.35,06 52 02.0243,HD 50499,Puppis,-33 54 56.0163,0.0,2.0,1.0
31.03,06 54 42.8262,HD 50554,Gemini,+24 14 44.0089,0.0,1.0,1.0
34.8,06 54 51.3411,HD 51608,Carina,-55 15 33.5811,0.0,2.0,1.0
28.1,07 00 18.0357,HD 52265,Monoceros,-05 22 01.7784,0.0,1.0,1.0
56.12,00 50 09.9047,HD 5278,Octans,-83 44 38.0338,0.0,2.0,1.0
114,00 55 01.3998,HD 5319,Cetus,+00 47 22.4012,0.0,2.0,1.0
78.15,07 12 14.9701,HD 55696,Puppis,-38 10 28.3441,0.0,1.0,1.0
222,00 57 56.7154,HD 5583,Andromeda,+34 59 07.8994,0.0,1.0,1.0
56.4,00 58 14.21893,HD 5608,Andromeda,+33 57 03.1843,0.0,1.0,1.0
272.2170000,07 11 22,HD 56414,Volans,-68 50 00,0.0,1.0,1.0
53.6,00 09 52.82123,HD 564,Phoenix,-50 16 04.1606,0.0,1.0,1.0
61.4925000,07 17 18,HD 56957,Puppis,-40 39 22,0.0,1.0,1.0
251,01 00 33.1924,HD 5891,Pisces,+20 17 32.9518,0.0,1.0,1.0
96.9,07 31 48.39602,HD 59686,Gemini,+17 05 09.7702,1.0,1.0,2.0
318.5,07 38 28.8262,HD 60292,Camelopardalis,+66 14 06.5996,0.0,1.0,1.0
25.7,07 34 03.1802,HD 60532,Puppis,-22 17 45.8383,0.0,2.0,1.0
10.34,07 45 18,HD 62509,Gemini,+28 01 34,0.0,1.0,1.0
49.3305000,07 44 20,HD 62549,Monoceros,-05 03 15,0.0,1.0,1.0
22.42,07 49 55.0604,HD 63433,Gemini,+27 21 47.4585,0.0,2.0,1.0
35.8,07 39 21.8536,HD 63454,Chamaleon,-78 16 44.3079,0.0,1.0,1.0
32.6,07 47 49.7202,HD 63765,Carina,-54 15 50.9193,0.0,1.0,1.0
48.8,07 51 41.9965,HD 63935,Canis Minor,+09 23 09.7932,0.0,2.0,1.0
31.55,07 51 55.8865,HD 64114,Monoceros,-11 01 58.7106,0.0,1.0,1.0
130.0,07 49 28.00,HD 64121,Carina,-54 48 44.00,0.0,1.0,1.0
41.4,01 04 40.15077,HD 6434,Phoenix,-39 29 17.5822,0.0,1.0,1.0
34.3,07 53 41.3193,HD 65216,Carina,-63 38 50.3532,0.0,2.0,1.0
80.9,08 02 15.9365,HD 66141,Canis Minor,+02 20 04.4521,0.0,1.0,1.0
55.0,08 03 28.00,HD 66428,Monoceros,-01 09 45.00,0.0,2.0,1.0
88.8,08 07 39.75457,HD 67087,Gemini,+31 33 04.7381,0.0,2.0,1.0
55.9,01 07 48.6629,HD 6718,Cetus,-08 14 01.3306,0.0,1.0,1.0
78.0,08 05 23.6912,HD 68402,Volans,-74 35 22,0.0,1.0,1.0
60.8447000,08 18 22,HD 68988,Ursa Major,+61 27 39,0.0,2.0,1.0
75.1,08 14 13.00,HD 69123,Puppis,-35 29 24.00,0.0,1.0,1.0
12.6,08 18 23.9469,HD 69830,Puppis,-12 37 55.8102,0.0,3.0,1.0
45.7,08 22 49.9528,HD 70573,Hydra,+01 51 33.5542,0.0,1.0,1.0
28.8,08 21 28.1371,HD 70642,Puppis,-39 42 19.4800,0.0,1.0,1.0
36,01 10 47.2213,HD 7199,Tucana,-66 11 17.3900,0.0,1.0,1.0
126.79,08 33 36.6520,HD 72490,Cancer,+13 33 02.8405,0.0,1.0,1.0
51.84,08 34 03.1902,HD 72659,Hydra,-01 34 05.5793,0.0,1.0,1.0
72.78,08 34 52.5948,HD 72892,Hydra,-14 27 24.1107,0.0,1.0,1.0
36.5,08 36 23.0163,HD 73256,Pyxis,-30 02 15.4418,0.0,1.0,1.0
54.2,08 36 17.77517,HD 73267,Pyxis,-34 27 35.9219,0.0,1.0,1.0
99,08 37 16.4834,HD 73526,Vela,-41 19 08.7873,0.0,2.0,1.0
85.8,08 39 15.8032,HD 73534,Cancer,+12 57 37.3484,0.0,1.0,1.0
31.6,08 38 45.2604,HD 73583,Hydra,-13 15 24.0909,0.0,2.0,1.0
64.4,08 42 25.12216,HD 74156,Hydra,+04 34 41.1473,0.0,2.0,1.0
38.9,01 14 29.32198,HD 7449,Cetus,-05 02 50.5942,1.0,2.0,2.0
28.94,08 47 40,HD 75289,Vela,-41 44 12,1.0,1.0,2.0
85.64,08 52 23.9416,HD 75784,Cancer,+13 14 00.3704,0.0,2.0,1.0
80.58,08 53 50.8052,HD 75898,Lynx,+33 03 24.5230,0.0,1.0,1.0
59.7,08 53 55.5158,HD 76700,Volans,-66 48 03.5742,0.0,1.0,1.0
184.80,08 55 16.8171,HD 76920,Volans,-67 15 55.6996,0.0,1.0,1.0
40.75,09 01 12.4937,HD 77338,Pyxis,-25 31 37.4333,0.0,1.0,1.0
,09 11 59.00,HD 79181,Hydra,-19 44 51.00,0.0,1.0,1.0
16.82,01 21 59.11491,HD 7924,Cassiopeia,+76 42 37.0335,0.0,3.0,1.0
49,09 15 09.4023,HD 79498,Cancer,+23 22 31.9770,0.0,1.0,1.0
58.4,09 22 37,HD 80606,Ursa Major,+50 36 13,1.0,1.0,2.0
