magK,magB,metallicity,magH,name,mass,magV,spectraltype,radius,magJ,temperature,planets
5.0360000,,-0.140,5.3000000,GJ 514,0.51,9.0500000,M0.5-1.0V,0.50,5.9020000,3728.00,1.0
,,-0.08,,GJ 536,0.52,9.707,M1,0.5,,3685.0,1.0
5.833,,-0.380,6.063,GJ 625,0.30,10.100,M2,0.31,6.608,3499.00,1.0
5.606,12.593,,5.917,GJ 682,0.27,10.946,M3.5 V,,6.544,3028,2.0
6.066,,-0.150,6.271,GJ 685,0.55,9.970,M0.5,0.54,6.884,3816.00,1.0
4.548,,,4.766,GJ 687,0.40,9.150,M3V,,5.335,,2.0
6.0820000,,-0.140,6.2600000,GJ 720 A,0.57,9.8400000,M0.5V,0.56,6.8810000,3837.00,1.0
4.432,10.782,-0.23,4.741,GJ 725 A,0.334,8.91,M3V,0.351,5.189,3441,0.0
5.000,11.705,-0.30,5.197,GJ 725 B,0.248,9.69,M3.5V,0.273,5.721,3345,1.0
,,,,GJ 740,,9.4,M1V,,,,1.0
3.465,8.82,-0.060,3.608,GJ 887,0.49,7.335,M1V,0.47,4.338,3688.00,2.0
5.326,,,5.575,GJ 896 A,0.43599,10.173,M3.5Ve,,6.162,,1.0
6.262,,,6.555,GJ 896 B,0.16527,,M4.0Ve,,7.101,,0.0
6.648,,,6.970,GJ 9066,0.15,12.270,M4.5V,,7.514,,2.0
,,0.05,,GJ 9689,0.59,11.3,M0.5V,0.57,,3836.0,1.0
5.554,,0.140,5.770,GJ 96,0.60,9.345,M2,,6.377,3785.00,1.0
6.2210000,,,6.3920000,GJ 9714,0.67,9.3700000,K5V,0.66,6.9840000,4263.00,1.0
7.193,,-0.260,7.379,GJ 9827,0.61,10.250,K5V,0.60,7.984,4340.00,3.0
6.160,,0.060,6.355,Gl 378,0.56,10.190,M1,0.56,6.949,3879.00,1.0
5.572,11.109,-0.300,5.790,Gl 686,0.42,9.577,M1,0.42,6.360,3663.00,1.0
,,,,Gliese 1002,0.11,15.40,M5.5V,,,,0.0
,,,,Gliese 1005 A,0.179,12.70,M4V,,,,0.0
,,,,Gliese 1005 B,0.112,15.12,M7V,,,,0.0
,,0.39,,Gliese 1214,0.15,14.71,M,0.216,,3026.0,1.0
,,,,G 208-44 A,0.11,15.17,M5.5V,,,,0.0
,,,,G 208-44 B,0.07,18.46,M5.5,,,,0.0
,,,,G 208-45,0.10,15.72,M6.0V,,,,0.0
4.02,9.63,-0.32,4.48,Gliese 15 A,0.375,8.13,M2V,0.3863,5.25,3567,2.0
5.948,12.84,,6.191,Gliese 15 B,0.163,11.04,M3.5,0.19,6.789,,0.0
,,,,GJ 163,0.4,11.8,M3.5,,,,5.0
5.607,11.49,-0.1,5.824,Gliese 176,0.49,9.97,M2.5V,0.53,6.462,3520,1.0
6.942,13.568,0.30,7.21,Gliese 179,0.357,12.018,M3.5 V,0.38,7.814,3370,1.0
,,,,Gliese 1,0.46,10.35,M1.5V,,,,0.0
,,-0.14,,Gliese 221,0.7,6.69,K7V/M0V,,,4324.0,4.0
4.859,7.335,0.10,4.990,Gliese 3021 A,0.9,6.59,G6 V,0.9,5.366,5540,1.0
,,,,Gliese 3021 B,0.13,,M4V,,,,0.0
6.352,11.30,0.00,6.523,Gliese 328,0.69,9.98,M1,,7.191,3900,1.0
7.486,13.6,0.02,7.749,Gliese 3293,0.42,11.962,M2.5,0.404,8.362,3466,3.0
7.733,13.58,-0.09,7.990,Gliese 3341,0.47,12.080,M2.5,0.439,8.592,3546,1.0
7.989,13.5,0.17,8.206,Gliese 3470,0.51,12.3,M1.5,0.48,8.794,3652,1.0
7.470,14.4,,7.76,Gliese 3634,0.45,11.95,M2.5,0.43,8.361,3314.0,1.0
,,,,Gliese 412 A,0.48,10.34,M1.0V,,,,0.0
,,,,Gliese 412 B,0.10,16.05,M5.5V,,,,0.0
6.073,12.06,-0.32,6.319,Gliese 436,0.445,10.59,M3V,0.449,6.900,3479,3.0
5.371,11.439,0.130,5.582,Gliese 49,0.52,9.560,M1.5V,0.51,6.230,3805.00,1.0
4.033,5.81,0.13,4.107,Gliese 504,1.16,5.22,G0V,1.36,4.392,5978,1.0
5.837,11.76,-0.135,6.095,Gliese 581,0.31,10.55,M2.5V,0.3,6.706,3498.0,6.0
5.624,11.139,0.08,5.865,Gliese 649,0.54,9.7,M1.5,,6.448,3700.0,2.0
,,-0.59,,Gliese 667 A,0.73,,,0.76,,,0.0
,,-0.59,,Gliese 667 B,0.69,,,0.70,,,0.0
6.036,11.79,,6.322,Gliese 667 C,0.33,10.22,M1.5V,0.41,6.848,3350,7.0
4.855,10.973,-0.28,5.154,Gliese 674,0.35,9.38,M2.5,,5.711,3600.0,1.0
5.825,11.028,0.23,6.082,Gliese 676 A,0.71,9.585,M0V,,6.711,,4.0
8.017,14.8,,8.29,Gliese 676 B,0.17,,M3.5V,,8.976,,0.0
,,0.24,,Gliese 777 A,1.04,5.71,G6 IV,1.2,,,2.0
,,,,Gliese 777 B,0.20,,M4.5,,,,0.0
3.501,6.63,-0.04,3.582,Gliese 785,0.80,5.73,K3V,,4.112,5166.0,2.0
4.501,10.176,-0.3,4.766,Gliese 832,0.45,8.67,M1.5,,5.349,3472,2.0
5.594,11.868,0.31,5.90,Gliese 849,0.490,10.366,M3.5V,0.52,6.510,3601,2.0
4.125,6.94,-0.24,4.25,Gliese 86 A,0.8,6.17,K1V,0.855,4.79,5188,1.0
,,,,Gliese 86 B,0.59,13.2,DQ6,0.01245,,8180,0.0
5.010,10.192,0.19,5.349,Gliese 876,0.37,10.17,M4 V,0.3761,5.934,3129,4.0
7.096,12.36,,7.702,GQ Lup,0.7,11.4,K7eV,,8.605,5150.0,1.0
,,,,Groombridge 1618,0.67,8.16,K7.0V,,,,0.0
9.129,13.1,,9.329,GSC 06214-00210,0.9,,K7,,9.946,4060,1.0
9.345,15.30,0.1,9.598,GU Psc,0.325,13.55,M3,,10.211,,1.0
7.009,10.66,0.31,7.131,HAT-P-11,0.809,9.47,K4V,0.683,7.608,4780,2.0
10.108,12.6,-0.29,10.236,HAT-P-12,0.73,12.84,K5,0.7,10.794,4650.0,1.0
8.975,11.15,0.41,9.058,HAT-P-13,1.22,10.42,G4,1.56,9.328,5638.0,2.0
8.851,10.41,0.11,8.927,HAT-P-14 A,1.386,9.99,F,1.468,9.094,6600.0,1.0
14.498,,,14.164,HAT-P-14 B,0.232,,,,,3356,0.0
9.641,13.02,0.22,9.752,HAT-P-15,1.013,12.41,G5,1.08,10.194,5568.0,1.0
9.553,11.38,0.12,9.623,HAT-P-16 A,1.216,10.91,F8,1.158,9.850,6140,1.0
15.083,,,14.770,HAT-P-16 B,0.188,,,,15.271,3269,0.0
8.544,11.33,,8.619,HAT-P-17,0.857,10.38,K,0.837,9.017,5246.0,2.0
10.234,11.9,0.1,10.340,HAT-P-18,0.770,12.76,K,0.717,10.822,4870,1.0
10.546,12.4,0.23,10.644,HAT-P-19,0.842,12.901,K,0.82,11.095,4990,1.0
8.858,11.0,0.13,8.923,HAT-P-1,1.133,10.4,G0V,1.115,9.156,5975.0,1.0
8.601,12.58,0.35,8.743,HAT-P-20,0.756,11.34,K7,0.694,9.276,4595.0,1.0
10.111,12.56,0.01,10.154,HAT-P-21,0.947,11.46,G3,1.105,10.503,5588.0,1.0
7.837,10.62,0.24,7.935,HAT-P-22,0.916,9.76,G5,1.04,8.293,5302.0,1.0
10.791,13.05,0.15,10.846,HAT-P-23,1.13,11.94,G5,1.203,11.103,5905.0,1.0
10.543,12.21,-0.16,10.589,HAT-P-24 A,1.191,11.76,F8,1.317,10.797,6329,1.0
14.354,,,14.752,HAT-P-24 B,0.373,,,,15.455,3499,0.0
10.815,14.12,0.31,10.908,HAT-P-25,1.01,13.15,G5,0.959,11.319,5500.0,1.0
9.581,12.33,-0.04,9.685,HAT-P-26,0.816,11.76,K1,0.788,10.080,5079.0,1.0
10.109,13.18,0.14,10.249,HAT-P-27,0.92,12.19,G8,0.87,10.626,5300.0,1.0
11.104,13.4,0.12,11.206,HAT-P-28,1.025,13.03,G3,1.103,11.561,5680.0,1.0
10.297,12.30,0.21,10.395,HAT-P-29,1.207,11.83,F8,1.224,10.648,6087.0,1.0
7.603,9.15,0.14,7.652,HAT-P-2,1.36,8.69,F8,1.64,7.796,6290.0,1.0
9.151,10.95,0.13,9.220,HAT-P-30 A,1.242,10.35,F,1.215,9.442,6304,1.0
12.126,,,12.3353,HAT-P-30 B,0.519,,,,12.8724,3692,0.0
10.083,12.02,0.15,10.128,HAT-P-31,1.218,11.67,F,1.36,10.423,6065.0,1.0
9.990,11.79,-0.16,10.024,HAT-P-32 A,1.176,11.44,F/G,1.387,10.251,6207,1.0
13.490,,,13.692,HAT-P-32 B,0.4243,,,,14.399,3551,0.0
10.004,11.66,0.05,10.061,HAT-P-33 A,1.403,11.03,F,1.777,10.263,6446,1.0
13.419,,,13.530,HAT-P-33 B,0.557,,,,14.400,3776,0.0
9.247,10.81,0.22,9.32,HAT-P-34,1.392,10.40,F8,1.535,9.460,6442.0,1.0
11.030,12.84,0.11,11.072,HAT-P-35,1.236,11.59,F,1.435,11.358,6096.0,1.0
10.603,,,10.723,HAT-P-36,1.03,12.262,G5V,1.04,11.046,5620.00,1.0
11.667,13.1,0.03,11.71,HAT-P-37,0.929,13.23,G,0.877,13.23,5500.0,1.0
10.501,12.2,0.06,10.593,HAT-P-38,0.886,12.557,G,0.923,10.989,5330.0,1.0
11.157,,0.19,11.184,HAT-P-39,1.404,12.422,F,1.625,11.424,6430.0,1.0
9.448,12.53,0.27,9.542,HAT-P-3,0.917,11.86,K,0.799,9.936,5224.0,1.0
10.009,12.19,0.22,10.085,HAT-P-40,1.512,11.34,F,2.206,10.367,6080.0,1.0
9.728,11.65,0.21,9.777,HAT-P-41,1.418,11.36,F,1.683,10.006,6390.0,1.0
10.626,12.83,0.27,10.677,HAT-P-42,1.179,12.17,G,1.528,10.960,5743,1.0
11.764,14.12,0.23,11.809,HAT-P-43,1.048,13.36,F,1.104,12.146,5645,1.0
11.275,13.2,0.33,11.360,HAT-P-44,0.939,13.212,,0.979,11.729,5295,2.0
10.201,13.7,0.07,10.350,HAT-P-45,1.259,12.794,,1.319,10.730,6330,1.0
9.924,12.9,0.3,9.972,HAT-P-46,1.284,11.936,,1.396,10.330,6120,2.0
,,0.0,,HAT-P-47,1.387,10.61,,1.515,,6703.0,1.0
10.255,,0.02,10.340,HAT-P-48,1.099,12.16,,1.223,10.696,5946.0,1.0
9.346,10.675,0.074,9.399,HAT-P-49,1.543,10.326,,1.833,9.55,6820,1.0
9.770,11.83,0.24,9.837,HAT-P-4,1.26,11.12,F,1.59,10.100,5890.0,1.0
10.500,12.282,-0.180,10.545,HAT-P-50,1.273,11.762,,1.698,10.816,6280,1.0
11.614,14.261,0.270,11.654,HAT-P-51,0.976,13.440,,1.041,12.039,5449,1.0
11.621,15.183,0.280,11.745,HAT-P-52,0.887,14.068,,0.893,12.195,5131,1.0
12.100,,0.000,12.202,HAT-P-53,1.093,11.73,,1.209,12.468,5956,1.0
,14.832,-0.127,,HAT-P-54,0.645,13.505,,0.617,,4390,1.0
11.627,13.871,-0.030,11.714,HAT-P-55,1.013,13.207,,1.011,12.020,5808,1.0
9.830,11.287,,9.881,HAT-P-56,1.296,10.908,,1.428,10.068,6566,1.0
9.433,10.916,-0.25,9.497,HAT-P-57 A,1.47,10.465,A8V,1.500,9.670,7500,1.0
,,,12.25,HAT-P-57 B,0.61,,,,,,0.0
,,,13.26,HAT-P-57 C,0.53,,,,,,0.0
10.9780000,,-0.224,11.0750000,HAT-P-58,1.03,12.9250000,,1.53,11.4290000,6078.00,1.0
10.2080000,,0.217,10.2680000,HAT-P-59,1.01,11.6400000,,1.10,10.5810000,5678.00,1.0
10.481,12.92,0.24,10.522,HAT-P-5,1.163,11.95,G,1.137,10.844,5960.0,1.0
8.3680000,,0.037,8.3960000,HAT-P-60,1.44,9.7270000,,2.20,8.6770000,6212.00,1.0
11.1410000,,0.194,11.2630000,HAT-P-61,1.00,13.0960000,,0.94,11.5980000,5587.00,1.0
10.7010000,,0.414,10.8030000,HAT-P-62,1.02,12.5390000,,1.17,11.1440000,5629.00,1.0
,,0.251,,HAT-P-63,0.93,20.1544000,,0.97,,5400.00,1.0
11.1230000,,-0.113,11.2250000,HAT-P-64,1.30,12.8550000,,1.74,11.4850000,6457.00,1.0
11.528,13.81,0.1,11.604,HAT-P-65,1.212,13.16,,1.86,11.892,5835.0,1.0
11.675,13.55,0.035,11.735,HAT-P-66,1.255,12.99,,1.881,12.001,6002.0,1.0
8.900,10.55,-0.08,8.961,HAT-P-67,1.642,10.11,F,1.546,9.145,6406.0,1.0
,,-0.06,,HAT-P-68,0.6785,14.0,,0.67,,4508.0,1.0
9.280,,-0.069,9.293,HAT-P-69,1.65,,,1.93,9.373,7394.00,1.0
9.313,10.88,-0.13,9.440,HAT-P-6,1.29,10.47,F,1.46,9.558,6570.0,1.0
8.963,,-0.059,9.023,HAT-P-70,1.89,,,1.86,9.068,8450.00,1.0
9.334,10.97,0.32,9.344,HAT-P-7 A,1.59,10.48,F6,2.02,9.555,6310,1.0
15.254,,,15.231,HAT-P-7 B,0.215,,,,16.117,3321,0.0
8.953,10.77,0.01,9.004,HAT-P-8,1.192,10.36,F,1.475,9.214,6200.0,1.0
14.827,,,14.675,HAT-P-8 B,0.168,,M5V,,15.81,3216,0.0
15.400,,,15.356,HAT-P-8 C,0.131,,M6V,,16.37,3058,0.0
11.015,,0.120,11.043,HAT-P-9,1.28,12.297,F7,1.34,11.274,6350.00,1.0
11.511,13.820,0.15,11.568,HATS-10,1.101,13.113,,1.105,11.866,5880,1.0
,14.657,-0.39,,HATS-11,1.0,14.018,G0,1.44,,6060.0,1.0
,12.258,-0.1,,HATS-12,1.49,12.756,F,2.21,,6408.0,1.0
11.983,14.686,0.050,12.052,HATS-13,0.962,13.887,,0.887,12.439,5523,1.0
12.037,13.820,0.28,12.129,HATS-14,0.97,13.79,,0.93,12.518,5408,1.0
12.724,15.797,0.000,12.806,HATS-15,0.871,14.774,G9V,0.922,13.261,5311,1.0
12.280,14.477,0.100,12.335,HATS-16,0.970,13.834,G3V,1.238,12.652,5738,1.0
10.698,13.105,0.300,10.837,HATS-17,1.131,12.39,G,1.091,11.082,5846,1.0
12.289,,,12.382,HATS-18,1.04,14.067,GV,1.02,12.736,5600.00,1.0
,,0.24,,HATS-19,1.303,,G0,1.74,,5896.0,1.0
10.58,12.740,-0.06,10.634,HATS-1,0.986,12.053,G2V,1.038,10.924,5870.0,1.0
11.864,,0.03,11.951,HATS-20,0.91,,G9V,0.892,12.351,5406.0,1.0
10.526,,0.3,10.562,HATS-21,1.08,,G4V,1.021,10.912,5695.0,1.0
10.942,14.50,0.0,11.006,HATS-22,0.759,13.46,,0.689,11.556,4803.0,1.0
12.26,14.62,0.28,12.293,HATS-23,1.121,13.90,,1.199,12.636,5780.0,1.0
11.382,,-0.229,11.447,HATS-24,1.07,12.830,FV,1.12,11.678,6125.00,1.0
,13.81,0.02,,HATS-25,0.994,13.10,G,1.107,,5715.0,1.0
,13.55,-0.02,,HATS-26,1.299,12.96,F,2.04,,6071.0,1.0
11.550,13.24,0.09,11.651,HATS-27,1.415,12.77,F,1.74,11.831,6438.0,1.0
,,0.01,,HATS-28,0.929,,G,0.922,,5498.0,1.0
,,0.16,,HATS-29,1.032,,G,1.073,,5670.0,1.0
11.386,14.53,0.15,11.475,HATS-2,0.88,13.62,K,0.89,11.906,5227,1.0
,,0.06,,HATS-30,1.093,,,1.061,,5943.0,1.0
,,0.0,,HATS-31,1.275,13.11,,1.87,,6050.0,1.0
,15.11,0.39,,HATS-32,1.099,14.38,,1.097,,5700.0,1.0
10.287,12.63,0.29,10.337,HATS-33,1.062,11.91,,1.022,10.659,5659.0,1.0
12.095,14.60,0.25,12.139,HATS-34,0.955,13.85,,0.98,12.513,5380.0,1.0
11.118,13.26,0.21,11.192,HATS-35,1.317,12.56,,1.433,11.439,6300.0,1.0
12.809,15.06,0.13,12.855,HATS-36,1.135,14.39,G0V,1.186,13.181,5970.0,1.0
9.947,,0.051,10.038,HATS-37 A,0.84,12.266,,0.88,10.528,5326.00,1.0
10.768,,-0.102,10.850,HATS-38,0.89,12.411,,1.10,11.184,5732.00,1.0
11.518,,0.000,11.620,HATS-39,1.38,12.746,,1.62,11.833,6572.00,1.0
10.694,12.46,-0.157,10.719,HATS-3,1.300,12.44,F,1.725,10.980,6351,1.0
12.147,,0.010,12.242,HATS-40,1.56,13.377,,2.26,12.439,6460.00,1.0
11.498,,0.470,11.521,HATS-41,1.50,12.681,,1.71,11.765,6424.00,1.0
12.245,,0.220,12.281,HATS-42,1.27,13.617,,1.48,12.543,6060.00,1.0
11.556,14.47,0.05,11.646,HATS-43,0.837,13.59,K,0.812,12.064,5099.0,1.0
12.19,15.49,0.32,12.234,HATS-44,0.86,14.43,K,0.847,12.699,5080.0,1.0
12.137,13.85,0.02,12.155,HATS-45,1.272,13.31,F,1.315,12.364,6450.0,1.0
11.965,14.42,-0.06,11.993,HATS-46,0.917,13.63,G,0.853,12.366,5495.0,1.0
11.926,,-0.113,12.026,HATS-47,0.67,14.829,,0.66,12.653,4512.00,1.0
11.427,,0.186,11.591,HATS-48 A,0.73,14.350,,0.72,12.160,4546.00,1.0
11.938,,0.208,12.105,HATS-49,0.71,14.998,,0.70,12.692,4405.00,1.0
11.612,14.267,0.43,11.697,HATS-4,1.001,13.459,,0.925,12.032,5403,1.0
12.289,14.718,0.300,12.37,HATS-50,1.168,14.033,G,1.117,12.642,5990,1.0
10.867,13.190,0.300,10.955,HATS-51,1.187,12.471,G,1.44,11.241,5758,1.0
12.11,14.316,0.22,12.22,HATS-52,1.111,13.669,G,1.046,12.52,6010,1.0
12.046,14.548,0.010,12.088,HATS-53,0.964,13.790,G,1.101,12.458,5644,1.0
12.170,14.729,0.396,12.273,HATS-54,1.097,13.913,,1.317,12.611,5702,1.0
12.020,14.111,0.108,12.048,HATS-55,1.1955,13.470,,1.126,12.338,6214,1.0
10.251,12.05,0.19,10.325,HATS-56,1.573,11.48,,2.201,10.514,6536,1.0
10.707,12.97,0.268,10.738,HATS-57,1.026,11.59,,0.960,11.071,5587,1.0
10.289,12.0510,,10.358,HATS-58 A,1.461,11.552,,1.433,10.584,7175,1.0
,,,,HATS-58 B,,,,,,,0.0
12.238,14.727,0.180,12.299,HATS-59,1.038,13.951,,1.036,12.590,5670,2.0
10.703,13.439,0.19,10.772,HATS-5,0.936,12.63,,0.871,11.199,5304,1.0
10.988,13.394,0.335,11.070,HATS-60,1.097,12.641,,1.460,11.377,5688,1.0
11.478,14.020,0.247,11.565,HATS-61,1.076,13.233,,1.664,11.875,5542,1.0
12.109,14.862,0.133,12.196,HATS-62,0.896,14.015,,0.933,12.573,5416,1.0
12.216,14.595,0.081,12.290,HATS-63,0.931,13.8920,,1.070,12.631,5627,1.0
11.705,13.416,0.220,11.780,HATS-64,1.564,12.924,,2.113,11.968,6554,1.0
11.095,13.067,0.199,11.145,HATS-65,1.257,12.497,,1.310,11.405,6277,1.0
12.761,14.630,-0.017,12.827,HATS-66,1.411,14.095,,1.841,13.083,6626,1.0
12.327,14.207,0.332,12.346,HATS-67,1.435,13.095,,1.441,12.638,6594,1.0
10.949,12.81,0.210,10.985,HATS-68,1.351,12.281,,1.748,11.25,6147,1.0
11.875,14.916,0.377,11.968,HATS-69,0.892,13.945,,0.8785,12.413,5137,1.0
11.224,16.664,0.2,11.397,HATS-6,0.574,15.160,,0.570,12.046,3724,1.0
12.040,,0.041,12.106,HATS-70,1.78,12.574,,1.88,12.139,7930.00,1.0
11.727,16.94,0.237,11.972,HATS-71,0.569,,,0.5161,12.605,3254,1.0
9.764,,0.099,9.907,HATS-72,0.73,12.469,,0.72,10.424,4656.10,1.0
,,0.514,,HATS-74A,0.6,,,0.5758,,3777.0,1.0
,,0.522,,HATS-75,0.6017,15.8,,0.5848,,3790.4,1.0
,,0.322,,HATS-76,0.662,,,0.626,,4016.0,1.0
,,0.253,,HATS-77,0.655,16.35,,0.643,,4071.0,1.0
10.976,14.359,0.250,11.085,HATS-7,0.849,13.340,K2,0.815,11.528,4985,1.0
12.661,,0.210,12.779,HATS-8,1.056,14.03,,1.086,13.098,5679,1.0
11.479,14.080,0.340,11.558,HATS-9,1.030,13.276,,1.503,11.885,5366,1.0
5.83,6.71,,5.96,HD 100546,2.4,6.70,B9Vne,,6.425,10500,2.0
4.129,7.468,0.15,4.470,HD 100655,2.4,6.45,G9III,9.3,5.039,4861.0,1.0
6.735,9.19,0.27,6.804,HD 100777,1,8.42,K0,,7.152,5582.0,1.0
5.868,7.95,0.08,5.934,HD 10180,1.06,7.32,G1V,1.109,6.246,5911,9.0
6.147,9.12,0.17,6.26,HD 101930,0.74,8.21,K1 V,,6.645,5079.0,1.0
5.833,8.20,0.3,5.949,HD 102117,1.03,7.47,G6V,1.27,6.224,5672.0,1.0
6.151,8.90,0.05,6.268,HD 102195,0.926,8.05,K0V,0.835,6.629,5291.0,1.0
6.259,9.71,0.26,6.402,HD 102272,1.9,8.71,K0,10.1,6.895,4908.0,2.0
5.402,8.93,0.3,5.526,HD 102329,1.30,7.89,K0,6.3,6.049,4830.0,2.0
3.489,5.55,-0.28,3.490,HD 102365,0.85,4.89,G2V,,3.931,5650.0,1.0
7.495,,,7.535,HD 102843,0.95,9.268,K0V,,7.896,5436.00,1.0
5.663,8.825,0.19,5.767,HD 102956,1.68,8,A,4.4,6.214,5054.0,1.0
7.426,10.31,0.21,7.600,HD 103197,0.9,9.41,K1V,,7.916,5303.0,1.0
7.283,10.44,-0.02,7.431,HD 103720,0.794,9.49,K3 V,0.73,7.838,5017,1.0
6.000,7.61,0.28,6.112,HD 103774,1.335,7.12,F5V,,6.269,6489,1.0
,,-0.19,,HD 103891,1.28,6.55,F9,2.2,,6072.0,1.0
6.314,,,6.411,HD 103949,0.77,8.690,K3V,,6.903,4792.00,1.0
5.614,8.897,-0.06,5.754,HD 104067,0.791,7.93,K2V,,6.212,4969.0,1.0
5.590,8.77,0.11,5.729,HD 10442,1.56,7.84,K2IV,,6.158,5034,1.0
3.27,6.819,-0.15,3.55,HD 104985,2.3,5.797,G9 III,11,4.11,4877,1.0
,,-0.25,,HD 105779,0.89,8.64,G2,0.94,,5792.0,1.0
5.93,8.00,-0.078,6.02,HD 106252,0.96,7.36,G0,1.09,6.30,5754.0,1.0
5.862,8.319,0.08,5.964,HD 106270,1.330,7.58,G5,2.5,6.249,5638,1.0
7.853,,-0.311,7.962,HD 106315,1.09,8.951,F5V,1.30,8.116,6327.00,2.0
4.34,6.05,0.0,4.40,HD 10647,1.11,5.52,F9V,1.1,4.79,6039.0,1.0
6.151,8.79,0.03,6.22,HD 106515 A,0.97,7.35,G5,1.62,6.585,,1.0
,,,,HD 106906 A,1.34,8.11,F5V,,,,0.0
,,,,HD 106906 B,1.37,8.11,F5V,,,,0.0
4.601,6.957,0.1,4.678,HD 10697,1.15,6.29,G5 IV,1.72,5.39,5641.0,1.0
6.4740000,,0.296,6.6040000,HD 107148,1.11,8.0100000,G5V,1.17,6.8580000,5752.92,2.0
5.721,7.501,0.18,5.832,HD 108147,1.19,6.99,F8/G0 V,1.22,6.007,6067.0,1.0
,,-0.28,,HD 108236,0.869,9.24,G3V,0.877,8.046,5660,5.0
7.326,10.29,0.04,7.458,HD 108341,0.843,9.36,K2 V,0.79,7.863,5122,1.0
5.392,8.71,0.20,5.516,HD 108863,1.85,7.89,K0,5.6,6.022,4956.0,1.0
7.06,9.49,0.14,7.11,HD 108874,1,8.76,G5,1.22,7.48,5407.0,2.0
7.216,9.42,0.1,7.296,HD 109246,1.01,8.77,G0V,1.02,7.570,5844.0,1.0
6.495,8.71,0.10,6.555,HD 109271,1.047,8.05,G5V,,6.855,5783,2.0
,,0.05,,HD 109286,0.98,8.77,G5,1.089,,5694.0,1.0
,8.76,0.25,,HD 109749 A,1.2,8.1,G3 IV,,,5610.0,1.0
,,,,HD 109749 B,0.78,,,,,,0.0
,,,,HD 10975,,,K0III,,,,1.0
7.8200000,,-0.070,7.8900000,HD 109833,1.08,9.2900000,,1.00,8.1440000,5881.00,2.0
,5.904,0.14,,HD 110014,2.09,4.66,K2III,20.9,,4445.0,2.0
,,,,HD 110113,0.997,10.0,,0.968,,5732.0,2.0
5.6480000,,0.187,5.7770000,HD 11112,1.07,7.1300000,,1.47,6.0110000,5905.64,1.0
5.898,8.29,-0.36,5.975,HD 111232,0.78,7.61,G8V,,6.328,5494.0,1.0
,,0.070,,HD 111591,1.94,6.427,K0III,8.03,,4884.00,1.0
,,-0.09,,HD 112640,1.8,6.5,K0III,39.0,,4155.0,1.0
5.005,6.397,0.07,5.053,HD 113337,1.4,6,F6V,1.5,5.187,,1.0
5.637,10.433,-0.24,5.835,HD 113538,0.585,9.057,K9V,0.53,6.438,4462,2.0
1.493,,0.130,1.631,HD 113996,1.49,4.820,K5III,25.11,2.372,4181.00,1.0
7.1630000,,0.000,7.2260000,HD 114082,1.47,8.2000000,F3V,1.49,7.4030000,6651.00,1.0
6.351,9.80,,6.497,HD 114386,0.75,8.73,K3 V,0.76,6.968,4819.0,2.0
3.27,5.55,0.19,3.346,HD 114613,1.364,4.85,G4IV,,3.64,5729,1.0
5.136,7.31,-0.22,5.29,HD 114729 A,0.93,6.69,G3 V,1.46,5.559,,1.0
,,,,HD 114729 B,0.253,,M,,,,0.0
5.81,7.85,-0.71,5.89,HD 114762 A,0.84,7.3,F9V,1.24,6.14,5934.0,1.0
,,,,HD 114762 B,0.1,,M6V,,,,0.0
5.475,8.469,0.33,5.62,HD 114783,0.853,7.57,K0,0.78,6.025,5105.0,2.0
5.8850000,,-0.220,5.9500000,HD 11505,1.03,7.4300000,,1.20,6.2390000,5757.15,1.0
6.168,8.11,0.31,6.265,HD 11506,1.19,7.51,G0V,1.33,6.508,6058.0,2.0
4.3810000,,-0.157,4.5840000,HD 115404 A,0.83,6.5006600,K2V,0.73,4.9010000,5019.17,2.0
,,0.34,,HD 115954,1.18,8.34,G0V,1.213,,5957.0,1.0
5.534,8.89,0.18,5.650,HD 116029,1.33,7.89,K1IV,4.6,6.144,4951,2.0
5.65,7.98,0.27,5.749,HD 117207,1.031,7.25,G7IV-V,1.09,6.034,5432,1.0
3.76,8.11,-0.74,3.931,HD 11755,0.9,6.88,G5,27.3,4.667,4312.5,1.0
5.737,7.77,0.04,5.843,HD 117618,1.05,7.18,G2V,1.19,6.098,5861.0,2.0
6.543,8.75,0.1,6.608,HD 118203,1.23,8.05,K0,,6.861,5600.0,1.0
4.49,7.25,0.17,,HD 11964 A,1.080,6.42,G5,2.18,,,2.0
7.597,12.59,,7.763,HD 11964 B,0.67,11.112,M0.0Ve,,8.413,,0.0
2.486,5.614,-0.16,2.594,HD 11977,2.31,4.7,G5 III,13,3.046,4975.0,1.0
3.572,6.901,0.09,3.599,HD 120084,2.4,5.910,G7III,9.12,4.091,4892,1.0
6.124,8.12,0.16,6.224,HD 121504,1.18,7.54,G2 V,,6.557,6075.0,1.0
4.4940000,,0.310,4.6300000,HD 12235,1.10,5.8805100,,1.80,5.2040000,5986.00,2.0
2.261,6.827,-0.09,2.373,HD 122430,1.68,5.48,K3III,22.9,3.080,4300.0,1.0
5.510,8.70,0.31,5.617,HD 122562,1.13,7.69,G5,,5.996,4958,1.0
6.3890000,,0.220,6.4590000,HD 124330,1.15,7.8800000,G4IV,1.30,6.7120000,5873.00,1.0
6.706,8.83,0.05,6.782,HD 12484,1.01,8.17,F8,,7.074,5920,1.0
7.0690000,,-0.220,7.2280000,HD 125271,0.75,9.6800000,,0.75,7.7240000,4703.93,1.0
